timestamp,step,loss,perplexity,learning_rate,tokens_per_sec,tokens_total,elapsed_hours
2026-02-26T23:16:12.419592,13250,1.562230,4.77,3.939096e-05,23528,325632000,3.8444
2026-02-26T23:16:57.428168,13300,1.572374,4.82,3.931491e-05,23541,326860800,3.8569
2026-02-26T23:17:42.379611,13350,1.599183,4.95,3.923867e-05,23553,328089600,3.8694
2026-02-26T23:18:27.364803,13400,1.606211,4.98,3.916224e-05,23565,329318400,3.8819
2026-02-26T23:19:12.468645,13450,1.599140,4.95,3.908563e-05,23577,330547200,3.8944
2026-02-26T23:19:57.587578,13500,1.577506,4.84,3.900884e-05,23589,331776000,3.9070
2026-02-26T23:20:42.562966,13550,1.578153,4.85,3.893186e-05,23600,333004800,3.9195
2026-02-26T23:21:27.611741,13600,1.545570,4.69,3.885470e-05,23612,334233600,3.9320
2026-02-26T23:22:12.567873,13650,1.545493,4.69,3.877737e-05,23624,335462400,3.9445
2026-02-26T23:22:57.559764,13700,1.566341,4.79,3.869985e-05,23636,336691200,3.9570
2026-02-26T23:23:42.530618,13750,1.545903,4.69,3.862216e-05,23647,337920000,3.9695
2026-02-26T23:24:27.607544,13800,1.513429,4.54,3.854430e-05,23659,339148800,3.9820
2026-02-26T23:25:12.587387,13850,1.510618,4.53,3.846625e-05,23670,340377600,3.9945
2026-02-26T23:25:58.228018,13900,1.549664,4.71,3.838804e-05,23680,341606400,4.0072
2026-02-26T23:26:43.203273,13950,1.596576,4.94,3.830965e-05,23692,342835200,4.0196
2026-02-26T23:27:27.846612,14000,1.602673,4.97,3.823109e-05,23703,344064000,4.0320
2026-02-26T23:28:22.907914,14050,1.585154,4.88,3.815236e-05,23698,345292800,4.0473
2026-02-26T23:29:07.372224,14100,1.589541,4.90,3.807347e-05,23710,346521600,4.0597
2026-02-26T23:29:51.715559,14150,1.604109,4.97,3.799440e-05,23722,347750400,4.0720
2026-02-26T23:30:36.017824,14200,1.618690,5.05,3.791517e-05,23734,348979200,4.0843
2026-02-26T23:31:20.390903,14250,1.587567,4.89,3.783578e-05,23746,350208000,4.0966
2026-02-26T23:32:04.744205,14300,1.572631,4.82,3.775622e-05,23758,351436800,4.1090
2026-02-26T23:32:49.105025,14350,1.569926,4.81,3.767650e-05,23770,352665600,4.1213
2026-02-26T23:33:33.422025,14400,1.555773,4.74,3.759662e-05,23782,353894400,4.1336
