step,sg_loss,cbow_loss,var_loss,lr
12650,3.325492,3.497221,2.433881,0.024999
12700,3.296856,3.501763,2.424604,0.024999
12750,3.285683,3.426543,2.397248,0.024999
12800,3.249858,3.337606,2.354739,0.024999
12850,3.276656,3.357692,2.378669,0.024999
12900,3.216198,3.277721,2.336836,0.024999
12950,3.327346,3.510315,2.433777,0.024999
13000,3.378458,3.495587,2.439494,0.024999
13050,3.361235,3.545829,2.456956,0.024999
13100,3.270827,3.438445,2.387550,0.024999
13150,3.320072,3.521476,2.437540,0.024999
13200,3.252140,3.435772,2.392692,0.024999
13250,3.336463,3.537149,2.429858,0.024999
13300,3.302713,3.524721,2.428497,0.024999
13350,3.298293,3.460636,2.410694,0.024999
13400,3.155192,3.146482,2.293634,0.024999
13450,3.300105,3.427510,2.404729,0.024999
13500,3.451370,3.609974,2.486604,0.024999
13550,3.349678,3.491931,2.423047,0.024999
13600,3.266541,3.369760,2.373817,0.024999
13650,3.295325,3.501497,2.413258,0.024999
13700,3.297879,3.342491,2.379677,0.024999
13750,3.304884,3.439142,2.416162,0.024999
13800,3.329696,3.537205,2.440597,0.024999
13850,3.334892,3.566624,2.453159,0.024999
13900,3.345075,3.502176,2.445983,0.024998
13950,3.165021,3.337692,2.330352,0.024998
14000,3.316400,3.539806,2.438323,0.024998
14050,3.367625,3.539084,2.452492,0.024998
14100,3.281911,3.421457,2.403615,0.024998
14150,3.393705,3.603949,2.480496,0.024998
14200,3.333333,3.528827,2.433755,0.024998
14250,3.344659,3.571343,2.445212,0.024998
14300,3.292870,3.501842,2.424748,0.024998
14350,3.303982,3.517253,2.425627,0.024998
14400,3.359633,3.590679,2.460846,0.024998
14450,3.331849,3.552254,2.450638,0.024998
14500,3.334167,3.551283,2.447906,0.024998
14550,3.251346,3.422843,2.396702,0.024998
14600,3.238837,3.456505,2.399569,0.024998
14650,3.368439,3.530859,2.443773,0.024998
14700,3.314223,3.515958,2.427402,0.024998
14750,3.315793,3.497869,2.429572,0.024998
14800,3.322207,3.522972,2.431239,0.024998
14850,3.316545,3.465471,2.422195,0.024998
14900,3.370043,3.476083,2.424666,0.024998
14950,3.282392,3.499407,2.423182,0.024998
15000,3.304625,3.492539,2.419024,0.024998
15000,3.304625,3.492539,2.419024,0.024998,0.000000,0.086063,0.182362,0.096300
15050,3.384931,3.599045,2.469181,0.024998
15100,3.317707,3.506714,2.439510,0.024998
15150,3.246368,3.429518,2.372197,0.024998
15200,3.264772,3.432666,2.373120,0.024998
15250,3.308727,3.432314,2.420782,0.024998
15300,3.262785,3.450838,2.396754,0.024998
15350,3.342043,3.511492,2.434431,0.024998
15400,3.300680,3.480588,2.422635,0.024998
15450,3.335251,3.416299,2.424520,0.024998
15500,3.347312,3.493283,2.435305,0.024998
15550,3.290198,3.481740,2.409702,0.024998
15600,3.231939,3.353335,2.369773,0.024998
15650,3.296043,3.423904,2.391152,0.024998
15700,3.287628,3.524114,2.416703,0.024998
15750,3.300266,3.505278,2.409395,0.024998
15800,3.328149,3.490233,2.427672,0.024998
15850,3.288898,3.478935,2.410251,0.024998
15900,3.240468,3.329988,2.360003,0.024998
15950,3.284662,3.480007,2.380070,0.024998
16000,3.243233,3.329076,2.357089,0.024998
16050,3.363104,3.562097,2.448277,0.024998
16100,3.353143,3.459190,2.421177,0.024998
16150,3.302091,3.456337,2.401523,0.024998
16200,3.315355,3.487126,2.419695,0.024998
16250,3.392329,3.575412,2.466960,0.024998
16300,3.383956,3.577461,2.471935,0.024998
16350,3.311355,3.525058,2.436331,0.024998
16400,3.286943,3.503480,2.417440,0.024998
16450,3.229922,3.378703,2.352529,0.024998
16500,3.361962,3.530007,2.453542,0.024998
16550,3.280657,3.369413,2.385727,0.024998
16600,3.283538,3.420252,2.389233,0.024998
16650,3.321669,3.610083,2.456897,0.024998
