step,recon_loss,pred_loss,total_loss,lr
16300,5.073342,5.242327,7.778998,0.000300
16350,5.274874,5.444717,8.082154,0.000300
16400,5.418487,5.602317,8.311560,0.000300
16450,5.263303,5.456504,8.088155,0.000300
16500,5.034795,5.250210,7.767607,0.000300
16550,4.710869,4.965626,7.321061,0.000300
16600,5.109353,5.333133,7.887809,0.000300
16650,5.452452,5.650103,8.376329,0.000300
16700,5.299199,5.514120,8.163719,0.000300
16750,5.174941,5.374335,7.961805,0.000300
16800,5.072529,5.238128,7.774393,0.000300
16850,5.355434,5.524056,8.201773,0.000300
16900,5.680430,5.855163,8.695378,0.000300
16950,5.617092,5.795110,8.603656,0.000300
17000,5.355511,5.570017,8.247773,0.000300
17050,5.257323,5.480089,8.108750,0.000300
17100,5.477327,5.671457,8.410121,0.000300
17150,5.571974,5.740618,8.526605,0.000300
17200,5.554901,5.730303,8.507753,0.000300
17250,5.555640,5.764602,8.542422,0.000300
17300,5.342223,5.561091,8.232203,0.000300
17350,4.964256,5.164716,7.646843,0.000300
17400,4.733592,4.927534,7.294330,0.000300
17450,5.034420,5.217784,7.734995,0.000300
17500,5.600968,5.774795,8.575279,0.000300
17550,5.727755,5.925443,8.789320,0.000300
17600,5.550580,5.780157,8.555447,0.000300
17650,5.355138,5.615034,8.292603,0.000300
17700,5.244620,5.513244,8.135554,0.000300
17750,5.212871,5.455991,8.062426,0.000300
17800,5.465982,5.665453,8.398444,0.000300
17850,5.569279,5.700164,8.484803,0.000299
17900,5.614895,5.721079,8.528526,0.000299
17950,5.512370,5.663632,8.419817,0.000299
18000,5.130576,5.333559,7.898847,0.000299
18050,4.823467,5.059213,7.470947,0.000299
18100,4.474928,4.714581,6.952045,0.000299
18150,4.271785,4.516447,6.652339,0.000299
18200,4.202834,4.453976,6.555393,0.000299
18250,4.761744,5.021311,7.402183,0.000299
18300,5.218338,5.506518,8.115687,0.000299
18350,5.149099,5.455688,8.030237,0.000299
18400,5.101512,5.415444,7.966200,0.000299
18450,5.146448,5.415186,7.988410,0.000299
18500,5.179628,5.432692,8.022506,0.000299
18550,5.312706,5.575424,8.231776,0.000299
18600,5.346226,5.619877,8.292990,0.000299
18650,5.110708,5.435598,7.990953,0.000299
18700,5.065965,5.407692,7.940674,0.000299
18750,5.006198,5.344364,7.847463,0.000299
18800,5.027612,5.291577,7.805384,0.000299
18850,5.358998,5.551774,8.231273,0.000299
18900,5.659903,5.855536,8.685488,0.000299
18950,5.586852,5.810484,8.603910,0.000299
19000,5.290664,5.575964,8.221296,0.000299
19050,5.116243,5.451104,8.009225,0.000299
19100,5.152563,5.482258,8.058539,0.000299
19150,5.056270,5.380572,7.908707,0.000299
19200,4.844708,5.186862,7.609216,0.000299
19250,4.997336,5.307229,7.805897,0.000299
19300,5.107853,5.388424,7.942350,0.000299
19350,4.967947,5.267116,7.751089,0.000299
19400,4.916088,5.224808,7.682852,0.000299
19450,5.270491,5.566284,8.201529,0.000299
19500,5.591006,5.889352,8.684855,0.000299
19550,5.499232,5.828065,8.577681,0.000299
19600,5.476171,5.825140,8.563226,0.000299
19650,5.387414,5.741831,8.435538,0.000299
19700,5.209449,5.547191,8.151916,0.000299
19750,5.079402,5.408596,7.948297,0.000299
19800,4.543056,4.833486,7.105014,0.000299
19850,3.820739,4.079602,5.989972,0.000299
19900,3.486548,3.749411,5.492685,0.000299
19950,3.308706,3.570151,5.224505,0.000299
20000,3.286285,3.545165,5.188307,0.000299
20050,4.030444,4.342193,6.357415,0.000299
20100,4.863718,5.240703,7.672562,0.000299
20150,5.050870,5.400962,7.926397,0.000299
20200,5.388632,5.682527,8.376843,0.000299
20250,5.515817,5.840814,8.598723,0.000299
20300,5.336975,5.726324,8.394811,0.000299
20350,5.292729,5.700110,8.346474,0.000299
20400,5.140113,5.571999,8.142056,0.000299
20450,5.117686,5.555261,8.114104,0.000299
20500,5.304341,5.713014,8.365184,0.000299
20550,5.370366,5.745757,8.430940,0.000299
20600,5.355071,5.739373,8.416908,0.000299
20650,5.458355,5.847804,8.576982,0.000299
20700,5.374547,5.764473,8.451747,0.000299
20750,5.177160,5.582774,8.171354,0.000299
20800,5.255672,5.668322,8.296158,0.000299
20850,5.214220,5.630894,8.238004,0.000299
20900,4.939912,5.351386,7.821341,0.000299
20950,4.994634,5.368659,7.865976,0.000299
21000,5.087519,5.478344,8.022103,0.000299
21050,5.085805,5.513828,8.056731,0.000299
21100,5.067989,5.498188,8.032182,0.000299
21150,4.908061,5.376672,7.830703,0.000299
21200,5.049907,5.528099,8.053053,0.000299
21250,5.137425,5.629129,8.197842,0.000299
21300,4.988675,5.504157,7.998494,0.000299
21350,4.900851,5.415298,7.865723,0.000299
21400,4.867728,5.358090,7.791954,0.000299
21450,5.187675,5.640394,8.234232,0.000299
21500,5.492333,5.960120,8.706287,0.000299
21550,5.363333,5.856645,8.538311,0.000299
21600,5.052703,5.518904,8.045255,0.000299
21650,4.811253,5.272502,7.678129,0.000299
21700,4.970208,5.466776,7.951881,0.000299
21750,5.051319,5.577285,8.102944,0.000299
21800,4.965260,5.500729,7.983359,0.000299
21850,4.893099,5.436273,7.882823,0.000299
21900,4.924804,5.469582,7.931983,0.000299
