step,loss,masked_loss,unmasked_loss,em_ema,mask_prob,lr
13000,1.970906,2.308057,1.748086,0.204274,0.250000,0.000299
13050,1.877265,2.171526,1.677318,0.217114,0.250000,0.000299
13100,1.968982,2.305204,1.730144,0.156079,0.250000,0.000299
13150,1.972717,2.372765,1.703556,0.264391,0.250000,0.000299
13200,1.882971,2.284530,1.633901,0.198030,0.250000,0.000299
13250,1.823919,2.187037,1.602308,0.298435,0.250000,0.000299
13300,1.672874,2.010472,1.479694,0.276771,0.250000,0.000299
13350,1.776831,2.125676,1.563587,0.180821,0.250000,0.000299
13400,1.777616,2.061905,1.580980,0.207727,0.250000,0.000299
13450,1.566086,1.775181,1.415764,0.236564,0.250000,0.000299
13500,1.442167,1.633545,1.305569,0.265719,0.250000,0.000299
13550,1.340614,1.504567,1.224251,0.255796,0.250000,0.000299
13600,1.516934,1.727634,1.355643,0.259738,0.250000,0.000299
13650,1.836578,2.140262,1.601042,0.247606,0.250000,0.000299
13700,1.850164,2.142557,1.627485,0.278770,0.250000,0.000299
13750,1.698407,1.941222,1.513447,0.292037,0.250000,0.000299
13800,1.438680,1.707634,1.260145,0.387341,0.250000,0.000299
13850,1.423903,1.739433,1.239336,0.337186,0.250000,0.000299
13900,1.635370,1.954699,1.448587,0.315868,0.250000,0.000299
13950,1.729179,2.074328,1.521789,0.389107,0.250000,0.000299
14000,1.936577,2.323756,1.689622,0.245901,0.250000,0.000299
14050,1.923407,2.306238,1.676246,0.318523,0.250000,0.000299
14100,1.889616,2.216819,1.676167,0.269882,0.250000,0.000299
14150,1.957250,2.213317,1.776123,0.217010,0.250000,0.000299
14200,1.861406,2.084232,1.702327,0.251762,0.250000,0.000299
14250,1.655792,1.872849,1.511318,0.302789,0.250000,0.000299
14300,1.751779,1.997170,1.589069,0.181307,0.250000,0.000299
14350,1.929622,2.239553,1.722711,0.217540,0.250000,0.000299
14400,1.824342,2.129820,1.623737,0.243000,0.250000,0.000299
14450,1.758713,2.033617,1.576356,0.211349,0.250000,0.000299
14500,1.737435,2.033676,1.536073,0.233085,0.250000,0.000299
14550,1.535281,1.781554,1.376600,0.348323,0.250000,0.000299
14600,2.563803,2.930531,2.311333,0.066923,0.250000,0.000299
14650,2.942965,3.346964,2.649607,0.317999,0.250000,0.000299
14700,1.427759,1.556278,1.336081,0.519775,0.250000,0.000299
14750,0.709032,0.697620,0.719490,0.576606,0.250000,0.000299
14800,1.206024,1.280500,1.145581,0.185137,0.250000,0.000299
14850,1.792398,2.076996,1.595882,0.256618,0.250000,0.000299
14900,1.650518,2.017636,1.418383,0.311254,0.250000,0.000299
14950,1.567241,1.851153,1.384165,0.318781,0.250000,0.000299
15000,1.705676,2.004039,1.508310,0.243086,0.250000,0.000299
15050,1.879108,2.233151,1.643410,0.160345,0.250000,0.000299
15100,1.916592,2.236423,1.703271,0.257905,0.250000,0.000299
15150,1.654503,1.933162,1.475282,0.336483,0.250000,0.000299
15200,1.462684,1.739998,1.286993,0.444214,0.250000,0.000299
15250,1.408718,1.672265,1.240296,0.504017,0.250000,0.000299
15300,1.342829,1.591549,1.184527,0.528047,0.250000,0.000299
15350,1.347237,1.609619,1.179602,0.459223,0.250000,0.000299
15400,1.443302,1.712476,1.270696,0.272726,0.250000,0.000299
15450,1.500862,1.778481,1.320166,0.309422,0.250000,0.000299
15500,1.629660,1.937002,1.419919,0.228198,0.250000,0.000299
15550,1.676930,1.984808,1.469399,0.240732,0.250000,0.000299
15600,1.504494,1.748538,1.342066,0.262713,0.250000,0.000299
15650,1.459946,1.675152,1.310666,0.259381,0.250000,0.000299
15700,1.495474,1.742740,1.333275,0.361924,0.250000,0.000299
