step,recon_loss,contrastive_loss,variance_loss,covariance_loss,em_ema,contrastive_weight,lr
9950,6.630293,0.045764,0.972605,0.000041,0.000842,0.100000,0.000300
10000,6.765729,0.038153,0.972639,0.000041,0.000034,0.100000,0.000300
10050,6.644708,0.034760,0.972619,0.000042,0.000306,0.100000,0.000300
10100,6.350332,0.053577,0.972874,0.000042,0.000012,0.100000,0.000300
10150,6.380735,0.058936,0.972887,0.000042,0.000001,0.100000,0.000300
10200,6.757957,0.043948,0.972887,0.000042,0.000000,0.100000,0.000300
10250,6.917742,0.042810,0.973334,0.000039,0.000000,0.100000,0.000300
10300,6.887661,0.034432,0.973128,0.000041,0.000000,0.100000,0.000300
10350,6.998397,0.027230,0.973018,0.000042,0.000000,0.100000,0.000300
10400,6.992398,0.033177,0.972910,0.000041,0.000000,0.100000,0.000300
10450,6.935031,0.029054,0.972656,0.000041,0.000000,0.100000,0.000300
10500,6.861258,0.028696,0.972689,0.000041,0.000000,0.100000,0.000300
10550,6.500921,0.040623,0.972389,0.000044,0.000106,0.100000,0.000300
10600,6.564185,0.035598,0.972295,0.000045,0.000004,0.100000,0.000300
10650,6.528667,0.028918,0.972721,0.000041,0.000000,0.100000,0.000300
10700,6.480572,0.031686,0.972945,0.000040,0.000625,0.100000,0.000300
10750,6.716594,0.027794,0.973117,0.000040,0.000025,0.100000,0.000300
10800,6.573209,0.023778,0.973278,0.000039,0.000001,0.100000,0.000300
10850,6.464237,0.021099,0.973107,0.000039,0.000000,0.100000,0.000300
10900,6.276711,0.032727,0.972892,0.000040,0.000072,0.100000,0.000300
10950,6.334779,0.039174,0.972642,0.000041,0.000047,0.100000,0.000300
11000,6.697665,0.024869,0.972508,0.000043,0.000002,0.100000,0.000300
11050,6.770644,0.019170,0.972643,0.000042,0.000000,0.100000,0.000300
11100,6.667567,0.022206,0.972686,0.000041,0.000000,0.100000,0.000300
11150,6.458543,0.045757,0.973324,0.000038,0.000979,0.100000,0.000300
11200,6.383011,0.071834,0.974004,0.000035,0.000040,0.100000,0.000300
11250,6.713501,0.050872,0.973265,0.000040,0.000002,0.100000,0.000300
11300,6.571386,0.039807,0.972981,0.000042,0.000666,0.100000,0.000300
11350,6.553733,0.042876,0.973269,0.000042,0.000027,0.100000,0.000300
11400,6.794214,0.031132,0.973089,0.000043,0.000001,0.100000,0.000300
11450,6.851795,0.029969,0.973000,0.000042,0.000081,0.100000,0.000300
11500,6.935689,0.033890,0.972979,0.000040,0.000003,0.100000,0.000300
11550,6.718152,0.032088,0.973009,0.000039,0.000000,0.100000,0.000300
11600,6.525410,0.025705,0.972743,0.000041,0.000166,0.100000,0.000300
11650,6.555562,0.051957,0.973227,0.000040,0.004476,0.100000,0.000300
11700,6.483365,0.087076,0.973834,0.000037,0.000182,0.100000,0.000300
11750,6.080841,0.077735,0.973436,0.000038,0.000007,0.100000,0.000300
11800,5.759118,0.059651,0.973001,0.000040,0.000000,0.100000,0.000300
11850,5.587520,0.057884,0.972863,0.000041,0.003044,0.100000,0.000300
11900,5.463941,0.049788,0.972599,0.000042,0.003051,0.100000,0.000300
11950,6.250430,0.071338,0.973507,0.000042,0.000124,0.100000,0.000300
12000,6.777071,0.082038,0.973531,0.000044,0.000005,0.100000,0.000300
12050,6.621181,0.062392,0.972708,0.000048,0.005397,0.100000,0.000300
12100,6.600744,0.060996,0.973168,0.000045,0.000572,0.100000,0.000300
12150,6.425634,0.060125,0.973505,0.000041,0.000987,0.100000,0.000300
12200,6.573018,0.052145,0.973370,0.000041,0.000232,0.100000,0.000300
12250,6.651254,0.043236,0.972708,0.000042,0.001329,0.100000,0.000300
12300,6.660780,0.034647,0.972397,0.000044,0.000054,0.100000,0.000300
12350,6.637829,0.026884,0.972563,0.000044,0.000002,0.100000,0.000300
12400,6.422835,0.056054,0.973283,0.000041,0.000000,0.100000,0.000300
12450,6.080803,0.068411,0.973156,0.000041,0.000000,0.100000,0.000300
12500,5.974675,0.050850,0.972788,0.000041,0.000000,0.100000,0.000300
12550,6.498956,0.042541,0.972990,0.000041,0.000000,0.100000,0.000299
12600,4.892963,0.445313,0.974750,0.000039,0.007819,0.100000,0.000299
12650,2.440791,0.716284,0.976062,0.000034,0.011240,0.100000,0.000299
12700,3.270447,0.485873,0.975760,0.000033,0.002416,0.100000,0.000299
12750,5.609957,0.251774,0.975381,0.000035,0.000098,0.100000,0.000299
12800,6.573982,0.078854,0.973883,0.000040,0.000004,0.100000,0.000299
12850,6.501234,0.052515,0.972929,0.000045,0.000000,0.100000,0.000299
12900,6.399514,0.069014,0.972946,0.000044,0.003824,0.100000,0.000299
12950,6.395135,0.065296,0.972924,0.000042,0.000156,0.100000,0.000299
13000,6.589769,0.056647,0.973206,0.000042,0.000006,0.100000,0.000299
13050,6.600627,0.053212,0.973530,0.000042,0.000000,0.100000,0.000299
13100,6.431929,0.044584,0.973624,0.000040,0.000000,0.100000,0.000299
13150,6.321242,0.087738,0.974091,0.000037,0.000000,0.100000,0.000299
13200,6.271738,0.108800,0.973731,0.000037,0.000278,0.100000,0.000299
13250,6.506985,0.069774,0.973061,0.000039,0.000011,0.100000,0.000299
13300,6.579227,0.050403,0.972710,0.000042,0.004057,0.100000,0.000299
13350,6.281522,0.042857,0.972319,0.000043,0.002354,0.100000,0.000299
13400,6.473498,0.033439,0.972526,0.000043,0.000223,0.100000,0.000299
13450,6.673701,0.029265,0.972639,0.000043,0.000009,0.100000,0.000299
13500,6.268019,0.046739,0.972871,0.000042,0.005607,0.100000,0.000299
13550,6.027626,0.056570,0.973228,0.000041,0.004150,0.100000,0.000299
13600,6.111290,0.039946,0.972918,0.000041,0.005493,0.100000,0.000299
13650,6.523663,0.037036,0.972699,0.000043,0.000224,0.100000,0.000299
13700,6.696516,0.047061,0.972838,0.000044,0.000188,0.100000,0.000299
13750,6.516404,0.053067,0.973355,0.000040,0.000008,0.100000,0.000299
13800,6.511054,0.037797,0.973423,0.000038,0.000000,0.100000,0.000299
13850,6.317814,0.022162,0.972856,0.000041,0.000000,0.100000,0.000299
13900,6.140610,0.018977,0.972594,0.000043,0.000000,0.100000,0.000299
13950,6.049768,0.018089,0.972555,0.000044,0.000000,0.100000,0.000299
14000,6.149417,0.249733,0.974153,0.000040,0.000000,0.100000,0.000299
14050,6.605078,0.268856,0.974340,0.000040,0.000000,0.100000,0.000299
14100,6.740083,0.051396,0.972688,0.000045,0.000342,0.100000,0.000299
14150,6.477884,0.040037,0.972471,0.000045,0.000862,0.100000,0.000299
